time,p,s,Es,E,q,Fp,F
0,0,1000,0,50,0,0,50
1,297,685,8,42,6,4,46
2,480,477,10,40,28,5,45
3,624,327,1,49,42,6,44
4,714,209,5,45,64,8,42
5,760,143,4,46,88,5,45
6,784,95,0,50,110,11,39
7,793,63,2,48,133,9,41
8,796,37,0,50,162,5,45
9,784,27,0,50,179,10,40
10,773,17,0,50,200,10,40
11,747,10,0,50,231,12,38
12,729,7,0,50,254,10,40
13,703,4,0,50,278,15,35
14,686,3,0,50,303,8,42
15,662,2,0,50,329,7,43
16,626,1,0,50,360,13,37
17,608,1,0,50,384,7,43
18,600,1,0,50,393,6,44
19,577,0,0,50,415,8,42
20,554,0,0,50,437,9,41
21,542,0,0,50,453,5,45
22,524,0,0,50,468,8,42
23,511,0,0,50,483,6,44
24,482,0,0,50,505,13,37
25,475,0,0,50,520,5,45
26,453,0,0,50,542,5,45
27,434,0,0,50,561,5,45
28,414,0,0,50,578,8,42
29,404,0,0,50,589,7,43
30,381,0,0,50,615,4,46
31,371,0,0,50,625,4,46
32,355,0,0,50,637,8,42
33,342,0,0,50,651,7,43
34,334,0,0,50,662,4,46
35,329,0,0,50,667,4,46
36,323,0,0,50,674,3,47
37,313,0,0,50,684,3,47
38,294,0,0,50,701,5,45
39,283,0,0,50,713,4,46
40,266,0,0,50,729,5,45
41,252,0,0,50,744,4,46
42,246,0,0,50,751,3,47
43,237,0,0,50,760,3,47
44,225,0,0,50,768,7,43
45,220,0,0,50,778,2,48
46,212,0,0,50,784,4,46
47,209,0,0,50,787,4,46
48,201,0,0,50,795,4,46
49,197,0,0,50,801,2,48
50,190,0,0,50,808,2,48
51,184,0,0,50,815,1,49
52,175,0,0,50,821,4,46
53,170,0,0,50,830,0,50
54,162,0,0,50,836,2,48
55,158,0,0,50,842,0,50
56,151,0,0,50,848,1,49
57,143,0,0,50,852,5,45
58,141,0,0,50,858,1,49
59,136,0,0,50,863,1,49
60,127,0,0,50,871,2,48
61,118,0,0,50,878,4,46
62,115,0,0,50,880,5,45
63,115,0,0,50,885,0,50
64,108,0,0,50,888,4,46
65,108,0,0,50,892,0,50
66,103,0,0,50,895,2,48
67,100,0,0,50,897,3,47
68,98,0,0,50,899,3,47
69,95,0,0,50,904,1,49
70,89,0,0,50,909,2,48
71,83,0,0,50,915,2,48
72,81,0,0,50,918,1,49
73,77,0,0,50,923,0,50
74,74,0,0,50,926,0,50
75,73,0,0,50,927,0,50
76,69,0,0,50,930,1,49
77,67,0,0,50,933,0,50
78,63,0,0,50,936,1,49
79,62,0,0,50,937,1,49
80,56,0,0,50,943,1,49
81,53,0,0,50,946,1,49
82,52,0,0,50,948,0,50
83,49,0,0,50,951,0,50
84,44,0,0,50,955,1,49
85,43,0,0,50,957,0,50
86,38,0,0,50,961,1,49
87,38,0,0,50,962,0,50
88,36,0,0,50,964,0,50
89,36,0,0,50,964,0,50
90,35,0,0,50,965,0,50
91,31,0,0,50,968,1,49
92,32,0,0,50,968,0,50
93,30,0,0,50,970,0,50
94,30,0,0,50,970,0,50
95,28,0,0,50,971,1,49
96,27,0,0,50,972,1,49
97,28,0,0,50,972,0,50
98,26,0,0,50,974,0,50
99,25,0,0,50,975,0,50
